frame.time,ip.src,ip.dst,ip.proto,tcp.flags,tcp.seq,tcp.window_size,frame.len,label,attack_type
2025-12-08 16:15:33.335860,192.168.0.111,10.0.1.39,17,16,1209810,5303,458,0,normal
2025-12-08 16:15:37.339860,192.168.4.3,10.0.4.81,17,18,1997038,11057,619,0,normal
2025-12-08 16:16:14.051860,192.168.2.235,10.0.2.215,17,24,313797,4995,508,0,normal
2025-12-08 16:16:23.820860,198.51.132.207,10.0.2.188,6,2,4845,519,194,1,syn_flood
2025-12-08 16:15:35.820860,192.168.5.11,10.0.0.166,17,16,1878529,13465,678,0,normal
2025-12-08 16:15:43.923860,192.168.0.188,10.0.1.215,17,24,319666,13459,741,0,normal
2025-12-08 16:15:32.613860,192.168.2.234,10.0.2.161,6,18,512204,11617,511,0,normal
2025-12-08 16:16:23.937860,198.51.77.3,10.0.0.193,6,2,8276,192,173,1,syn_flood
2025-12-08 16:15:39.240860,192.168.1.136,10.0.2.101,6,16,1617244,17709,313,0,normal
2025-12-08 16:15:58.212860,192.168.4.153,10.0.2.193,6,16,592840,6708,538,0,normal
2025-12-08 16:16:00.433860,192.168.4.154,10.0.3.159,17,18,1986668,17216,736,0,normal
2025-12-08 16:15:31.571860,192.168.0.117,10.0.0.80,6,24,1084321,5457,394,0,normal
2025-12-08 16:15:32.347860,192.168.5.68,10.0.4.102,6,18,114831,9066,268,0,normal
2025-12-08 16:16:02.144860,192.168.1.71,10.0.0.219,17,24,1274737,12360,281,0,normal
2025-12-08 16:16:19.197860,192.168.5.33,10.0.0.173,17,16,1456178,4445,534,0,normal
2025-12-08 16:15:51.674860,192.168.0.129,10.0.5.176,17,18,1524620,7773,466,0,normal
2025-12-08 16:15:41.869860,192.168.1.124,10.0.4.109,6,24,1640201,19499,228,0,normal
2025-12-08 16:16:15.660860,192.168.2.218,10.0.3.51,6,18,657472,16487,714,0,normal
2025-12-08 16:15:36.961860,192.168.3.244,10.0.0.116,6,16,1797763,6184,277,0,normal
2025-12-08 16:15:55.849860,192.168.2.203,10.0.4.246,6,16,1781162,13548,487,0,normal
2025-12-08 16:16:15.831860,192.168.3.109,10.0.2.130,17,18,1346565,19827,366,0,normal
2025-12-08 16:16:08.523860,192.168.3.207,10.0.2.195,6,16,681048,8589,520,0,normal
2025-12-08 16:15:55.594860,192.168.4.11,10.0.0.87,6,24,230331,13438,760,0,normal
2025-12-08 16:16:17.373860,192.168.5.185,10.0.2.234,6,16,1755556,5388,203,0,normal
2025-12-08 16:15:33.041860,192.168.2.251,10.0.3.21,6,16,1357251,5423,760,0,normal
2025-12-08 16:16:24.104860,203.0.174.250,10.0.2.101,17,0,0,114,1323,1,udp_flood
2025-12-08 16:16:19.260860,192.168.5.182,10.0.5.158,17,24,193782,10800,476,0,normal
2025-12-08 16:16:24.026860,203.0.105.51,10.0.5.67,17,0,0,96,1342,1,udp_flood
