ip.proto,tcp.flags,tcp.seq,tcp.window_size,frame.len
6,16,4785781,20488,60
6,16,894492,58024,1378
6,24,7270251,51967,1394
6,16,6586048,32761,60
6,16,2736483,36589,75
6,24,9868486,19737,72
6,16,9804362,29109,75
6,16,1896306,14573,1003
6,16,3525252,52208,1142
6,16,6556186,10464,82
6,16,2989714,63744,1132
6,16,9000046,59178,85
6,16,5073830,10128,93
6,16,7965953,37002,61
6,16,6664184,40394,1423
6,2,0,512,59
6,16,638335,52278,60
6,16,6174846,53254,1116
6,16,6555943,64593,95
6,16,2049136,62730,63
6,16,5083720,24333,99
6,16,589156,49232,1281
6,16,6514318,44662,63
6,16,795221,33049,91
6,16,799108,4703,54
6,16,3530586,61898,73
6,16,7193401,0,365
6,16,8541265,11032,76
6,16,8265372,4656,54
6,16,9463319,34234,92
6,16,966437,39103,1386
6,16,7847830,46282,93
6,16,1332505,2967,54
6,16,399912,4863,54
6,16,454415,13624,1384
6,16,5366121,16808,1380
6,2,0,512,54
6,16,2543988,0,860
6,16,7294977,1732,54
6,16,2159739,43035,1181
6,2,0,1024,57
6,16,300722,0,1087
6,16,3495101,36826,85
6,16,9830922,52782,78
6,16,7659593,49824,61
6,2,0,512,54
6,2,0,512,54
6,16,5142835,1064,54
6,16,40575,40744,1469
6,16,6030869,14793,1202
6,16,8748418,4044,54
6,16,6410511,3323,54
6,24,5401132,60544,1167
6,24,3533055,20429,1282
6,16,5838048,50040,68
6,16,9760264,54091,1278
6,16,2543489,45434,78
6,16,5735710,25002,78
6,16,2281943,52451,64
6,16,1556458,50667,1491
6,24,6556263,60912,1107
6,16,713010,0,1221
6,16,6020506,0,1130
6,2,0,1024,57
6,16,6165237,51940,79
6,16,5760622,55569,1010
6,24,7908439,46078,1468
6,24,2009833,16704,1126
6,2,0,1024,57
6,16,5273898,3240,54
6,16,2568720,30798,1344
6,24,7176846,50829,90
6,24,8093566,18958,83
6,16,8825705,47279,88
6,24,4148747,22590,83
6,16,6628319,46888,1171
6,16,6770653,11131,85
6,16,2112738,50174,1467
6,16,3758488,19642,1501
6,2,0,1024,59
6,24,3073616,46139,1352
6,16,2102493,25611,1215
6,16,8088154,0,1384
6,24,2668238,23688,86
6,16,6145321,38748,1458
6,16,8484437,61648,67
6,16,5942195,40783,91
6,24,8735893,54492,66
6,16,1309074,3467,54
6,2,0,1024,59
6,16,7183061,0,1456
6,24,25159,20867,95
6,24,863159,31981,66
6,16,951189,47847,82
6,16,3847606,43443,62
6,16,9112887,1494,54
6,24,7043669,63966,1157
6,16,9214183,48437,1383
6,16,9841865,43676,99
6,24,4841653,57179,83
6,16,8761435,12037,91
6,16,4296419,63366,70
6,16,9418025,61974,1471
6,16,7167291,0,613
6,16,6623311,26007,81
6,24,6393869,35038,75
6,24,4800050,11907,74
6,24,630589,58491,68
6,16,8406786,1462,54
6,24,8377305,13489,61
6,24,3445749,33716,92
6,16,5287727,15874,94
6,16,7392016,0,550
6,24,5768350,49221,97
6,16,9525733,23873,1106
6,2,0,512,57
6,24,4063625,47904,1131
6,16,6362292,35664,1063
6,16,3976882,52930,82
6,16,6422058,63416,1450
6,16,9122738,25390,66
6,16,7371232,39970,78
6,16,7282951,4224,54
6,16,2834114,37881,87
6,16,4178216,37991,1182
6,16,1662942,3598,54
6,16,3898302,26906,1170
6,16,7339565,3813,54
6,16,6099284,14399,1152
6,24,6747475,44880,1274
6,16,5430569,0,148
6,16,7021474,32745,1364
6,16,5154452,53614,1177
6,16,3022807,12485,79
6,2,0,1024,59
6,16,4322719,0,1284
6,16,2532453,0,964
6,2,0,1024,56
6,16,4715192,46720,81
6,16,7396753,64533,61
6,2,0,1024,58
6,2,0,512,59
6,16,5275580,2913,54
6,2,0,1024,59
6,16,615131,0,1099
6,16,3973630,40176,1512
6,24,341542,28711,1051
6,2,0,512,57
6,16,7819907,64357,1159
6,16,2283178,45138,1105
6,24,6258871,29575,97
6,2,0,512,55
6,16,2728664,1869,54
6,16,2994604,3086,54
6,16,7166477,57205,1311
6,24,2540032,41610,75
6,16,113208,61340,1015
6,16,6891610,55749,1122
6,2,0,512,56
6,16,1396691,45108,80
6,16,7370008,43426,1280
6,24,3814840,21380,1253
6,24,2509696,17673,75
6,24,5596434,61930,86
6,16,6435375,34701,75
6,2,0,1024,54
6,16,9775281,41485,77
6,16,2974009,24414,74
6,16,7686598,32330,1232
6,24,8178672,53838,1078
6,16,3138060,38208,1081
6,16,7249837,46451,1390
6,24,2931535,45684,1005
6,16,3023722,15079,1124
6,16,3476045,48926,95
6,16,3951319,11576,1474
6,16,4138530,0,649
6,16,1284457,46916,1172
6,16,6949495,19524,74
6,16,2203763,34353,60
6,16,6936018,1694,54
6,16,1842736,16889,1095
6,16,1475217,54157,1303
6,16,7665323,38018,87
6,24,4176416,60409,1417
6,2,0,1024,59
6,2,0,512,54
6,2,0,1024,58
6,16,176422,40206,80
6,16,1888508,46750,1260
6,16,5140818,28577,94
6,2,0,1024,54
6,2,0,512,58
6,16,1136206,1728,54
6,16,5901610,14732,1219
6,16,5026245,40505,87
6,24,1305133,37728,80
6,16,1318161,25823,1327
6,2,0,1024,56
6,16,3473776,0,157
6,2,0,1024,58
6,24,1222170,16262,84
6,16,6841873,14611,1204
6,16,5667978,0,838
6,16,7429514,39828,1019
6,16,9519143,44123,1045
6,16,4327713,43978,1357
6,16,6476775,64738,1453
6,2,0,1024,54
6,16,5598919,31433,69
6,16,7544745,33529,1031
6,16,7270557,48243,92
6,2,0,512,59
6,16,3545510,11158,1455
6,16,7463154,0,1486
6,24,4939896,24304,1087
6,16,3571024,3716,54
6,16,6675964,61499,74
6,2,0,1024,58
6,16,1636317,28006,78
6,16,411708,46788,92
6,16,7432366,51380,84
6,16,9979140,1167,54
6,16,1757074,28199,1186
6,24,2122266,35649,71
6,24,8646407,64040,1373
6,16,6591200,31866,1271
6,16,2632189,43830,1472
6,16,6651387,54739,69
6,16,6039612,62497,1039
6,24,3345262,16746,65
6,2,0,1024,56
6,24,3381821,55804,74
6,16,972504,3399,54
6,16,350629,64124,90
6,24,9103707,12346,1283
6,16,4869845,28342,1403
6,16,638856,33129,91
6,16,5617285,43833,1393
6,16,4541473,1249,54
6,16,6034763,13820,89
6,16,4771995,44179,70
6,16,3128581,0,1435
6,16,7786475,0,1057
6,24,549487,31293,97
6,16,8506322,52614,1052
6,16,931810,43997,1475
6,16,8178461,30968,72
6,16,7825534,45430,1076
6,16,5244771,1932,54
6,16,7021175,4036,54
6,16,5650876,0,1218
6,16,6922502,27496,83
6,16,8664057,28233,88
6,16,6955979,30497,1302
6,24,6759598,13427,81
6,2,0,512,59
6,24,6599428,10432,1073
6,16,5759647,25408,92
6,16,1504640,23905,95
6,16,4983695,13310,65
6,16,5241863,61750,1020
6,24,2415022,36593,1011
6,16,5409070,0,160
6,16,2668628,48821,65
6,16,5393994,30274,88
6,16,5487348,39065,1508
6,16,5400557,34709,1315
6,24,732235,37329,1374
6,16,4559450,22313,95
6,16,5210737,10112,67
6,24,3225355,16691,81
6,16,9640907,1200,54
